# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.6.4

acopper.name, string, 8018C2A7375BC2A761E29C94204162696C697461746FC2A7375D
blocksbuild::<player>::broke::birch_fence, long, 0000000000000000
blocksbuild::<player>::broke::birch_fence_gate, long, 0000000000000000
blocksbuild::<player>::broke::birch_log, long, 0000000000000000
blocksbuild::<player>::broke::birch_planks, long, 0000000000000000
blocksbuild::<player>::broke::birch_slab, long, 0000000000000000
blocksbuild::<player>::broke::birch_stairs, long, 0000000000000000
blocksbuild::<player>::broke::birch_trapdoor, long, 0000000000000000
blocksbuild::<player>::broke::blackstone, long, 0000000000000000
blocksbuild::<player>::broke::blackstone_slab, long, 0000000000000000
blocksbuild::<player>::broke::blackstone_stairs, long, 0000000000000000
blocksbuild::<player>::broke::blackstone_wall, long, 0000000000000000
blocksbuild::<player>::broke::brick_slab, long, 0000000000000000
blocksbuild::<player>::broke::brick_stairs, long, 0000000000000000
blocksbuild::<player>::broke::brick_wall, long, 0000000000000000
blocksbuild::<player>::broke::bricks, long, 0000000000000000
blocksbuild::<player>::broke::calcite, long, 0000000000000000
blocksbuild::<player>::broke::chiseled_nether_brick, long, 0000000000000000
blocksbuild::<player>::broke::chiseled_polished_blackstone, long, 0000000000000000
blocksbuild::<player>::broke::chiseled_quartz_block, long, 0000000000000000
blocksbuild::<player>::broke::chiseled_red_sandstone, long, 0000000000000000
blocksbuild::<player>::broke::chiseled_sandstone, long, 0000000000000000
blocksbuild::<player>::broke::chiseled_stone_bricks, long, 0000000000000000
blocksbuild::<player>::broke::cobbled_deepslate, long, 0000000000000000
blocksbuild::<player>::broke::cobbled_deepslate_slab, long, 0000000000000000
blocksbuild::<player>::broke::cobbled_deepslate_stairs, long, 0000000000000000
blocksbuild::<player>::broke::cobbled_deepslate_wall, long, 0000000000000000
blocksbuild::<player>::broke::cobblestone, long, 0000000000000000
blocksbuild::<player>::broke::cobblestone_slab, long, 0000000000000000
blocksbuild::<player>::broke::cobblestone_stairs, long, 0000000000000000
blocksbuild::<player>::broke::cobblestone_wall, long, 0000000000000000
blocksbuild::<player>::broke::cracked_deepslate_bricks, long, 0000000000000000
blocksbuild::<player>::broke::cracked_deepslate_tiles, long, 0000000000000000
blocksbuild::<player>::broke::cracked_nether_bricks, long, 0000000000000000
blocksbuild::<player>::broke::cracked_polished_blackstone_bricks, long, 0000000000000000
blocksbuild::<player>::broke::cracked_stone_bricks, long, 0000000000000000
blocksbuild::<player>::broke::crimson_door, long, 0000000000000000
blocksbuild::<player>::broke::crimson_fence, long, 0000000000000000
blocksbuild::<player>::broke::crimson_fence_gate, long, 0000000000000000
blocksbuild::<player>::broke::crimson_planks, long, 0000000000000000
blocksbuild::<player>::broke::crimson_slab, long, 0000000000000000
blocksbuild::<player>::broke::crimson_stairs, long, 0000000000000000
blocksbuild::<player>::broke::crimson_stem, long, 0000000000000000
blocksbuild::<player>::broke::crimson_trapdoor, long, 0000000000000000
blocksbuild::<player>::broke::cut_red_sandstone, long, 0000000000000000
blocksbuild::<player>::broke::cut_red_sandstone_slab, long, 0000000000000000
blocksbuild::<player>::broke::cut_sandstone, long, 0000000000000000
blocksbuild::<player>::broke::cut_sandstone_slab, long, 0000000000000000
blocksbuild::<player>::broke::dark_oak_door, long, 0000000000000000
blocksbuild::<player>::broke::dark_oak_fence, long, 0000000000000000
blocksbuild::<player>::broke::dark_oak_fence_gate, long, 0000000000000000
blocksbuild::<player>::broke::dark_oak_log, long, 0000000000000000
blocksbuild::<player>::broke::dark_oak_planks, long, 0000000000000000
blocksbuild::<player>::broke::dark_oak_slab, long, 0000000000000000
blocksbuild::<player>::broke::dark_oak_stairs, long, 0000000000000000
blocksbuild::<player>::broke::dark_oak_trapdoor, long, 0000000000000000
blocksbuild::<player>::broke::dark_prismarine, long, 0000000000000000
blocksbuild::<player>::broke::dark_prismarine_slab, long, 0000000000000000
blocksbuild::<player>::broke::dark_prismarine_stairs, long, 0000000000000000
blocksbuild::<player>::broke::deepslate, long, 0000000000000000
blocksbuild::<player>::broke::deepslate_brick_slab, long, 0000000000000000
blocksbuild::<player>::broke::deepslate_brick_stairs, long, 0000000000000000
blocksbuild::<player>::broke::deepslate_brick_wall, long, 0000000000000000
blocksbuild::<player>::broke::deepslate_bricks, long, 0000000000000000
blocksbuild::<player>::broke::deepslate_tile_slab, long, 0000000000000000
blocksbuild::<player>::broke::deepslate_tile_stairs, long, 0000000000000000
blocksbuild::<player>::broke::deepslate_tile_wall, long, 0000000000000000
blocksbuild::<player>::broke::deepslate_tiles, long, 0000000000000000
blocksbuild::<player>::broke::diorite, long, 0000000000000000
blocksbuild::<player>::broke::diorite_slab, long, 0000000000000000
blocksbuild::<player>::broke::diorite_stairs, long, 0000000000000000
blocksbuild::<player>::broke::diorite_wall, long, 0000000000000000
blocksbuild::<player>::broke::end_stone, long, 0000000000000000
blocksbuild::<player>::broke::end_stone_brick_slab, long, 0000000000000000
blocksbuild::<player>::broke::end_stone_brick_stairs, long, 0000000000000000
blocksbuild::<player>::broke::end_stone_brick_wall, long, 0000000000000000
blocksbuild::<player>::broke::end_stone_bricks, long, 0000000000000000
blocksbuild::<player>::broke::gilded_blackstone, long, 0000000000000000
blocksbuild::<player>::broke::granite, long, 0000000000000000
blocksbuild::<player>::broke::granite_slab, long, 0000000000000000
blocksbuild::<player>::broke::granite_stairs, long, 0000000000000000
blocksbuild::<player>::broke::granite_wall, long, 0000000000000000
blocksbuild::<player>::broke::honey_block, long, 0000000000000000
blocksbuild::<player>::broke::iron_bars, long, 0000000000000000
blocksbuild::<player>::broke::jungle_door, long, 0000000000000000
blocksbuild::<player>::broke::jungle_fence, long, 0000000000000000
blocksbuild::<player>::broke::jungle_fence_gate, long, 0000000000000000
blocksbuild::<player>::broke::jungle_log, long, 0000000000000000
blocksbuild::<player>::broke::jungle_planks, long, 0000000000000000
blocksbuild::<player>::broke::jungle_slab, long, 0000000000000000
blocksbuild::<player>::broke::jungle_stairs, long, 0000000000000000
blocksbuild::<player>::broke::jungle_trapdoor, long, 0000000000000000
blocksbuild::<player>::broke::mangrove_door, long, 0000000000000000
blocksbuild::<player>::broke::mangrove_fence, long, 0000000000000000
blocksbuild::<player>::broke::mangrove_fence_gate, long, 0000000000000000
blocksbuild::<player>::broke::mangrove_log, long, 0000000000000000
blocksbuild::<player>::broke::mangrove_planks, long, 0000000000000000
blocksbuild::<player>::broke::mangrove_slab, long, 0000000000000000
blocksbuild::<player>::broke::mangrove_stairs, long, 0000000000000000
blocksbuild::<player>::broke::mangrove_trapdoor, long, 0000000000000000
blocksbuild::<player>::broke::mossy_cobblestone, long, 0000000000000000
blocksbuild::<player>::broke::mossy_cobblestone_slab, long, 0000000000000000
blocksbuild::<player>::broke::mossy_cobblestone_stairs, long, 0000000000000000
blocksbuild::<player>::broke::mossy_cobblestone_wall, long, 0000000000000000
blocksbuild::<player>::broke::mossy_stone_brick_slab, long, 0000000000000000
blocksbuild::<player>::broke::mossy_stone_brick_stairs, long, 0000000000000000
blocksbuild::<player>::broke::mossy_stone_brick_wall, long, 0000000000000000
blocksbuild::<player>::broke::mossy_stone_bricks, long, 0000000000000000
blocksbuild::<player>::broke::mud, long, 0000000000000000
blocksbuild::<player>::broke::mud_brick_slab, long, 0000000000000000
blocksbuild::<player>::broke::mud_brick_stairs, long, 0000000000000000
blocksbuild::<player>::broke::mud_brick_wall, long, 0000000000000000
blocksbuild::<player>::broke::mud_bricks, long, 0000000000000000
blocksbuild::<player>::broke::muddy_mangrove_roots, long, 0000000000000000
blocksbuild::<player>::broke::nether_brick_fence, long, 0000000000000000
blocksbuild::<player>::broke::nether_brick_slab, long, 0000000000000000
blocksbuild::<player>::broke::nether_brick_stairs, long, 0000000000000000
blocksbuild::<player>::broke::nether_brick_wall, long, 0000000000000000
blocksbuild::<player>::broke::nether_bricks, long, 0000000000000000
blocksbuild::<player>::broke::netherrack, long, 0000000000000000
blocksbuild::<player>::broke::oak_door, long, 0000000000000000
blocksbuild::<player>::broke::oak_fence, long, 0000000000000000
blocksbuild::<player>::broke::oak_fence_gate, long, 0000000000000000
blocksbuild::<player>::broke::oak_log, long, 0000000000000000
blocksbuild::<player>::broke::oak_planks, long, 0000000000000000
blocksbuild::<player>::broke::oak_slab, long, 0000000000000000
blocksbuild::<player>::broke::oak_stairs, long, 0000000000000000
blocksbuild::<player>::broke::oak_trapdoor, long, 0000000000000000
blocksbuild::<player>::broke::packed_mud, long, 0000000000000000
blocksbuild::<player>::broke::polished_andesite, long, 0000000000000000
blocksbuild::<player>::broke::polished_andesite_slab, long, 0000000000000000
blocksbuild::<player>::broke::polished_andesite_stairs, long, 0000000000000000
blocksbuild::<player>::broke::polished_basalt, long, 0000000000000000
blocksbuild::<player>::broke::polished_blackstone, long, 0000000000000000
blocksbuild::<player>::broke::polished_blackstone_brick_slab, long, 0000000000000000
blocksbuild::<player>::broke::polished_blackstone_brick_stairs, long, 0000000000000000
blocksbuild::<player>::broke::polished_blackstone_brick_wall, long, 0000000000000000
blocksbuild::<player>::broke::polished_blackstone_bricks, long, 0000000000000000
blocksbuild::<player>::broke::polished_blackstone_slab, long, 0000000000000000
blocksbuild::<player>::broke::polished_blackstone_stairs, long, 0000000000000000
blocksbuild::<player>::broke::polished_blackstone_wall, long, 0000000000000000
blocksbuild::<player>::broke::polished_deepslate, long, 0000000000000000
blocksbuild::<player>::broke::polished_deepslate_slab, long, 0000000000000000
blocksbuild::<player>::broke::polished_deepslate_stairs, long, 0000000000000000
blocksbuild::<player>::broke::polished_deepslate_wall, long, 0000000000000000
blocksbuild::<player>::broke::polished_diorite, long, 0000000000000000
blocksbuild::<player>::broke::polished_diorite_slab, long, 0000000000000000
blocksbuild::<player>::broke::polished_diorite_stairs, long, 0000000000000000
blocksbuild::<player>::broke::polished_granite, long, 0000000000000000
blocksbuild::<player>::broke::polished_granite_slab, long, 0000000000000000
blocksbuild::<player>::broke::polished_granite_stairs, long, 0000000000000000
blocksbuild::<player>::broke::prismarine, long, 0000000000000000
blocksbuild::<player>::broke::prismarine_brick_slab, long, 0000000000000000
blocksbuild::<player>::broke::prismarine_brick_stairs, long, 0000000000000000
blocksbuild::<player>::broke::prismarine_bricks, long, 0000000000000000
blocksbuild::<player>::broke::prismarine_slab, long, 0000000000000000
blocksbuild::<player>::broke::prismarine_stairs, long, 0000000000000000
blocksbuild::<player>::broke::prismarine_wall, long, 0000000000000000
blocksbuild::<player>::broke::purpur_block, long, 0000000000000000
blocksbuild::<player>::broke::purpur_pillar, long, 0000000000000000
blocksbuild::<player>::broke::purpur_slab, long, 0000000000000000
blocksbuild::<player>::broke::purpur_stairs, long, 0000000000000000
blocksbuild::<player>::broke::quartz_block, long, 0000000000000000
blocksbuild::<player>::broke::quartz_bricks, long, 0000000000000000
blocksbuild::<player>::broke::quartz_pillar, long, 0000000000000000
blocksbuild::<player>::broke::quartz_slab, long, 0000000000000000
blocksbuild::<player>::broke::quartz_stairs, long, 0000000000000000
blocksbuild::<player>::broke::red_nether_brick_slab, long, 0000000000000000
blocksbuild::<player>::broke::red_nether_brick_stairs, long, 0000000000000000
blocksbuild::<player>::broke::red_nether_brick_wall, long, 0000000000000000
blocksbuild::<player>::broke::red_nether_bricks, long, 0000000000000000
blocksbuild::<player>::broke::red_sandstone, long, 0000000000000000
blocksbuild::<player>::broke::red_sandstone_slab, long, 0000000000000000
blocksbuild::<player>::broke::red_sandstone_stairs, long, 0000000000000000
blocksbuild::<player>::broke::red_sandstone_wall, long, 0000000000000000
blocksbuild::<player>::broke::reinforced_deepslate, long, 0000000000000000
blocksbuild::<player>::broke::sandstone, long, 0000000000000000
blocksbuild::<player>::broke::sandstone_slab, long, 0000000000000000
blocksbuild::<player>::broke::sandstone_stairs, long, 0000000000000000
blocksbuild::<player>::broke::sandstone_wall, long, 0000000000000000
blocksbuild::<player>::broke::slime_block, long, 0000000000000000
blocksbuild::<player>::broke::smooth_basalt, long, 0000000000000000
blocksbuild::<player>::broke::smooth_quartz, long, 0000000000000000
blocksbuild::<player>::broke::smooth_quartz_slab, long, 0000000000000000
blocksbuild::<player>::broke::smooth_quartz_stairs, long, 0000000000000000
blocksbuild::<player>::broke::smooth_stone, long, 0000000000000000
blocksbuild::<player>::broke::smooth_stone_slab, long, 0000000000000000
blocksbuild::<player>::broke::spruce_door, long, 0000000000000000
blocksbuild::<player>::broke::spruce_fence, long, 0000000000000000
blocksbuild::<player>::broke::spruce_fence_gate, long, 0000000000000000
blocksbuild::<player>::broke::spruce_log, long, 0000000000000000
blocksbuild::<player>::broke::spruce_planks, long, 0000000000000000
blocksbuild::<player>::broke::spruce_slab, long, 0000000000000000
blocksbuild::<player>::broke::spruce_stairs, long, 0000000000000000
blocksbuild::<player>::broke::spruce_trapdoor, long, 0000000000000000
blocksbuild::<player>::broke::stone, long, 0000000000000000
blocksbuild::<player>::broke::stone_brick_slab, long, 0000000000000000
blocksbuild::<player>::broke::stone_brick_stairs, long, 0000000000000000
blocksbuild::<player>::broke::stone_brick_wall, long, 0000000000000000
blocksbuild::<player>::broke::stone_bricks, long, 0000000000000000
blocksbuild::<player>::broke::stone_slab, long, 0000000000000000
blocksbuild::<player>::broke::stone_stairs, long, 0000000000000000
blocksbuild::<player>::broke::stripped_acacia_log, long, 0000000000000000
blocksbuild::<player>::broke::stripped_birch_log, long, 0000000000000000
blocksbuild::<player>::broke::stripped_crimson_stem, long, 0000000000000000
blocksbuild::<player>::broke::stripped_dark_oak_log, long, 0000000000000000
blocksbuild::<player>::broke::stripped_jungle_log, long, 0000000000000000
blocksbuild::<player>::broke::stripped_mangrove_log, long, 0000000000000000
blocksbuild::<player>::broke::stripped_oak_log, long, 0000000000000000
blocksbuild::<player>::broke::stripped_spruce_log, long, 0000000000000000
blocksbuild::<player>::broke::stripped_warped_stem, long, 0000000000000000
blocksbuild::<player>::broke::tuff, long, 0000000000000000
blocksbuild::<player>::broke::warped_door, long, 0000000000000000
blocksbuild::<player>::broke::warped_fence, long, 0000000000000000
blocksbuild::<player>::broke::warped_fence_gate, long, 0000000000000000
blocksbuild::<player>::broke::warped_planks, long, 0000000000000000
blocksbuild::<player>::broke::warped_slab, long, 0000000000000000
blocksbuild::<player>::broke::warped_stairs, long, 0000000000000000
blocksbuild::<player>::broke::warped_stem, long, 0000000000000000
blocksbuild::<player>::broke::warped_trapdoor, long, 0000000000000000
blocksbuild::<player>::calcite, long, 0000000000000000
blocksbuild::<player>::chiseled_nether_brick, long, 0000000000000000
blocksbuild::<player>::chiseled_polished_blackstone, long, 0000000000000000
blocksbuild::<player>::chiseled_quartz_block, long, 0000000000000000
blocksbuild::<player>::chiseled_red_sandstone, long, 0000000000000000
blocksbuild::<player>::chiseled_sandstone, long, 0000000000000000
blocksbuild::<player>::chiseled_stone_bricks, long, 0000000000000000
blocksbuild::<player>::cobbled_deepslate, long, 0000000000000000
blocksbuild::<player>::cobbled_deepslate_slab, long, 0000000000000000
blocksbuild::<player>::cobbled_deepslate_stairs, long, 0000000000000000
blocksbuild::<player>::cobbled_deepslate_wall, long, 0000000000000000
blocksbuild::<player>::cobblestone, long, 0000000000000000
blocksbuild::<player>::cobblestone_slab, long, 0000000000000000
blocksbuild::<player>::cobblestone_stairs, long, 0000000000000000
blocksbuild::<player>::cobblestone_wall, long, 0000000000000000
blocksbuild::<player>::cracked_deepslate_bricks, long, 0000000000000000
blocksbuild::<player>::cracked_deepslate_tiles, long, 0000000000000000
blocksbuild::<player>::cracked_nether_bricks, long, 0000000000000000
blocksbuild::<player>::cracked_polished_blackstone_bricks, long, 0000000000000000
blocksbuild::<player>::cracked_stone_bricks, long, 0000000000000000
blocksbuild::<player>::crafted, long, 0000000000000000
blocksbuild::<player>::crafted::acacia_door, long, 0000000000000000
blocksbuild::<player>::crafted::acacia_fence, long, 0000000000000000
blocksbuild::<player>::crafted::acacia_fence_gate, long, 0000000000000000
blocksbuild::<player>::crafted::acacia_log, long, 0000000000000000
blocksbuild::<player>::crafted::acacia_planks, long, 0000000000000000
blocksbuild::<player>::crafted::acacia_slab, long, 0000000000000000
blocksbuild::<player>::crafted::acacia_stairs, long, 0000000000000000
blocksbuild::<player>::crafted::acacia_trapdoor, long, 0000000000000000
blocksbuild::<player>::crafted::birch_door, long, 0000000000000000
blocksbuild::<player>::crafted::birch_fence, long, 0000000000000000
blocksbuild::<player>::crafted::birch_fence_gate, long, 0000000000000000
blocksbuild::<player>::crafted::birch_log, long, 0000000000000000
blocksbuild::<player>::crafted::birch_planks, long, 0000000000000000
blocksbuild::<player>::crafted::birch_slab, long, 0000000000000000
blocksbuild::<player>::crafted::birch_stairs, long, 0000000000000000
blocksbuild::<player>::crafted::birch_trapdoor, long, 0000000000000000
blocksbuild::<player>::crafted::crimson_door, long, 0000000000000000
blocksbuild::<player>::crafted::crimson_fence, long, 0000000000000000
blocksbuild::<player>::crafted::crimson_fence_gate, long, 0000000000000000
blocksbuild::<player>::crafted::crimson_planks, long, 0000000000000000
blocksbuild::<player>::crafted::crimson_slab, long, 0000000000000000
blocksbuild::<player>::crafted::crimson_stairs, long, 0000000000000000
blocksbuild::<player>::crafted::crimson_stem, long, 0000000000000000
blocksbuild::<player>::crafted::crimson_trapdoor, long, 0000000000000000
blocksbuild::<player>::crafted::dark_oak_door, long, 0000000000000000
blocksbuild::<player>::crafted::dark_oak_fence, long, 0000000000000000
blocksbuild::<player>::crafted::dark_oak_fence_gate, long, 0000000000000000
blocksbuild::<player>::crafted::dark_oak_log, long, 0000000000000000
blocksbuild::<player>::crafted::dark_oak_planks, long, 0000000000000000
blocksbuild::<player>::crafted::dark_oak_slab, long, 0000000000000000
blocksbuild::<player>::crafted::dark_oak_stairs, long, 0000000000000000
blocksbuild::<player>::crafted::dark_oak_trapdoor, long, 0000000000000000
blocksbuild::<player>::crafted::jungle_door, long, 0000000000000000
blocksbuild::<player>::crafted::jungle_fence, long, 0000000000000000
blocksbuild::<player>::crafted::jungle_fence_gate, long, 0000000000000000
blocksbuild::<player>::crafted::jungle_log, long, 0000000000000000
blocksbuild::<player>::crafted::jungle_planks, long, 0000000000000000
blocksbuild::<player>::crafted::jungle_slab, long, 0000000000000000
blocksbuild::<player>::crafted::jungle_stairs, long, 0000000000000000
blocksbuild::<player>::crafted::jungle_trapdoor, long, 0000000000000000
blocksbuild::<player>::crafted::mangrove_door, long, 0000000000000000
blocksbuild::<player>::crafted::mangrove_fence, long, 0000000000000000
blocksbuild::<player>::crafted::mangrove_fence_gate, long, 0000000000000000
blocksbuild::<player>::crafted::mangrove_log, long, 0000000000000000
blocksbuild::<player>::crafted::mangrove_planks, long, 0000000000000000
blocksbuild::<player>::crafted::mangrove_slab, long, 0000000000000000
blocksbuild::<player>::crafted::mangrove_stairs, long, 0000000000000000
blocksbuild::<player>::crafted::mangrove_trapdoor, long, 0000000000000000
blocksbuild::<player>::crafted::oak_door, long, 0000000000000000
blocksbuild::<player>::crafted::oak_fence, long, 0000000000000000
blocksbuild::<player>::crafted::oak_fence_gate, long, 0000000000000000
blocksbuild::<player>::crafted::oak_log, long, 0000000000000000
blocksbuild::<player>::crafted::oak_planks, long, 0000000000000000
blocksbuild::<player>::crafted::oak_slab, long, 0000000000000000
blocksbuild::<player>::crafted::oak_stairs, long, 0000000000000000
blocksbuild::<player>::crafted::oak_trapdoor, long, 0000000000000000
blocksbuild::<player>::crafted::spruce_door, long, 0000000000000000
blocksbuild::<player>::crafted::spruce_fence, long, 0000000000000000
blocksbuild::<player>::crafted::spruce_fence_gate, long, 0000000000000000
blocksbuild::<player>::crafted::spruce_log, long, 0000000000000000
blocksbuild::<player>::crafted::spruce_planks, long, 0000000000000000
blocksbuild::<player>::crafted::spruce_slab, long, 0000000000000000
blocksbuild::<player>::crafted::spruce_stairs, long, 0000000000000000
blocksbuild::<player>::crafted::spruce_trapdoor, long, 0000000000000000
blocksbuild::<player>::crafted::stripped_acacia_log, long, 0000000000000000
blocksbuild::<player>::crafted::stripped_birch_log, long, 0000000000000000
blocksbuild::<player>::crafted::stripped_crimson_stem, long, 0000000000000000
blocksbuild::<player>::crafted::stripped_dark_oak_log, long, 0000000000000000
blocksbuild::<player>::crafted::stripped_jungle_log, long, 0000000000000000
blocksbuild::<player>::crafted::stripped_mangrove_log, long, 0000000000000000
blocksbuild::<player>::crafted::stripped_oak_log, long, 0000000000000000
blocksbuild::<player>::crafted::stripped_spruce_log, long, 0000000000000000
blocksbuild::<player>::crafted::stripped_warped_stem, long, 0000000000000000
blocksbuild::<player>::crafted::warped_door, long, 0000000000000000
blocksbuild::<player>::crafted::warped_fence, long, 0000000000000000
blocksbuild::<player>::crafted::warped_fence_gate, long, 0000000000000000
blocksbuild::<player>::crafted::warped_planks, long, 0000000000000000
blocksbuild::<player>::crafted::warped_slab, long, 0000000000000000
blocksbuild::<player>::crafted::warped_stairs, long, 0000000000000000
blocksbuild::<player>::crafted::warped_stem, long, 0000000000000000
blocksbuild::<player>::crafted::warped_trapdoor, long, 0000000000000000
blocksbuild::<player>::crimson_door, long, 0000000000000000
blocksbuild::<player>::crimson_fence, long, 0000000000000000
blocksbuild::<player>::crimson_fence_gate, long, 0000000000000000
blocksbuild::<player>::crimson_planks, long, 0000000000000000
blocksbuild::<player>::crimson_slab, long, 0000000000000000
blocksbuild::<player>::crimson_stairs, long, 0000000000000000
blocksbuild::<player>::crimson_stem, long, 0000000000000000
blocksbuild::<player>::crimson_trapdoor, long, 0000000000000000
blocksbuild::<player>::cut_red_sandstone, long, 0000000000000000
blocksbuild::<player>::cut_red_sandstone_slab, long, 0000000000000000
blocksbuild::<player>::cut_sandstone, long, 0000000000000000
blocksbuild::<player>::cut_sandstone_slab, long, 0000000000000000
blocksbuild::<player>::dark_oak_door, long, 0000000000000000
